Sentence,Emotion
그런 말 하지 마. 싫어. ,슬픔
아빠 어디 가는데?,놀람
할아버지? 서울에 사는 무서운 할아버지?,놀람
그래서. 갑자기 날 찾아온 이유가 뭐냐. 그 여자가 돈 좀 얻어오라고 너 등 떠밀든?,혐오
아내는.. 십년 전에 죽었습니다. 둘째 낳으면서요. 아내에 대해 더 이상 그런 식으로 말씀하지 마십쇼.,분노
어쨌든 그 여잔 우리 집에서 널 뺏어갔구 널 망쳐놨어. 그런 여잘 어떻게 용서해. 절대 용서 못해.,분노
그래 고작 이런 꼴로 날 찾아오려고 그 여잘 따라 갔던 거냐? 고작 이런 꼴로 살려고?,분노
아버진.. 조금도 변하지 않으셨군요.,슬픔
형편없이 변해버린 너보단 낫겠지.,분노
넌.. 날 찾아오지 않는 게 좋았다. 평생 못 보더라도.. 차라리 그게 더 나을 뻔했다.,분노
아버지밖에 생각나는 사람이 없었습니다.,슬픔
뭐가?,분노
저한테 무슨 일이 생기면 제 자식들 보살펴줄 수 있는 분은 아버지뿐이라고 생각했어요.,슬픔
어이구. 오늘 못가요 거긴. 눈이 너무 많이 와서 버스가 끊겼어요.,놀람
저런. 어머니가 시류를 잘못 읽으셨네. 요즘처럼 의사가 널린 세상에 만화가가 나았을 텐데. 특히 경쟁력 없는 의사는. ,놀람
아버지는?,놀람
이거 땜에 부르신 거였어요..?,놀람
지금 4권짼데 주인공이 사형 선고 받았다? 어이없어.,분노
주인공이 맘에 든단 말야. 이 자식이 근성이 있는게. 남자가 봐도 멋진 놈이야.,놀람
여자가 봐도 멋있어요!,행복
너도 팬이냐?,놀람
당연하죠. 멋지잖아요.,행복
딸하고 그런 대화 안 하시나?,놀람
큰일 나다니? ,놀람
어?,놀람
핸드폰을 놓고?,놀람
어딜 가신 거야 그럼..?,놀람
이상하네.. 많이 이상한데.,놀람
한밤중에 말도 없이요? 것도 맨발로요? 돈도 안 갖고? 핸드폰도 없이?,놀람
선생님이요? 섭섭하시긴요. 아주 징글징글하다고 죽이고 싶댔는데.,놀람
뭐예요? 왜 다쳤어요?! 누구예요? ,놀람
으어!!,놀람
구급차는?!,분노
뭘요. 의사로서 당연히 할일을 한 건데요.,행복
뭐...?,놀람
아빠는...?,놀람
찍힌 게 없어?,놀람
"대표님 인생의 키요..? 어휴, 너무 거창한 표현이라 좀 오글거리는데요.",놀람
미인이라던데요? ,놀람
대체 날 뭘로 보는 거야?,놀람
이렇게 사장한테 막말하는 비서가 있나.,분노
"황당하네. 니 존재의 이유는 나도 밝힐 수 있거든? 간단해, 너희 부모님의 사랑으로 정자와 난자가 결합해서…",놀람
네 알겠습니다. 경찰에 그대로 전할게요. 대표님 인생의 키가 될 여자는 결코 미인이 아니라고.,분노
인생의 키라는 표현은 좀 쎄긴 한데. 엄청 미인인가보다?,놀람
니가 아버지한테 압력행사 했지? 이름 넣어달라고?,분노
"어, 이게 나 밀었냐? 지금 날 밀어? ",놀람
아 제발 좀!! 일단 나가시라구요!,분노
"우리 조카, 집에 있었네?",놀람
언니 쟤 왜 저래? ,놀람
뭘 또 생각을 해요? 그만 좀 생각해요 ,놀람
누구한테요?,놀람
어딜 가? ,놀람
"어휴, 바쁘다고 유세가 아주. 딸이 아니라 상전이다 상전. 저거 언제 전문의 따서 개업해서 호강시켜줘?",놀람
다친데..? 없는데요. 왜,놀람
그럼 누가 그려..?,분노
내가 아니면 그럼 누가 그렸다는 거야 그걸? 지금 무슨 소리를 하고 싶은 거냐 너.,분노
오시자마자요..? 좀 쉬시고 ,놀람
지겹다. 지겨워서 빨리 끝내고 쉬고 싶어. 다음에 맘 편하게 만나자.,분노
누가? ,놀람
그걸 누구한테 들었니?,놀람
왜요..? 왜 꼭 죽여야 돼요? ,놀람
너 이제 내 작품에도 관여를 하냐?,분노
"허무해서 그래요. 잘못한 것도 없이 왜 죽어야 돼요? 억울하잖아요, 범인도 못 잡고 아직 복수도 못했는데 왜 죽어야 돼요? 주인공이?",슬픔
주인공은 꼭 복수 끝내고 죽어야 된다는 법이 있냐? 내 마음이지.,분노
"그치만 이건 아니죠, 이럴 거면 살려낸 의미가 없잖아요,",놀람
주사를 언제 놨어요?,놀람
대표님 그건 좀. 아직 신원 확인도 안 됐고..,놀람
내가 뭐하러?,놀람
왜죠?,놀람
그럴 신분이 아니면.. 불법체류자..? 수배범..?,놀람
왜 안다고 생각해요?,놀람
…네?,놀람
저에 대해 잘 아시는 거 같네요. 아까 미인 얘기도 그렇고..,놀람
정체가 뭡니까?,놀람
그걸 어떻게 알고요...?,놀람
걸리셨나보네요,놀람
흥미진진해지네요. 다음 만남이 기대되는데요. ,놀람
어떻게 마침 근처에 있죠? 지금 퇴원해서 나오는 길이었는데,놀람
무슨 퇴원을... 다 나았다구요 벌써?,놀람
왜요..?,놀람
대표님 퇴원하셨나보네요. ,놀람
네? ,놀람
누나!,놀람
어떻게 된 거야? 매장 매니저가 지금 전화를 했는데,놀람
갑자기 그게 무슨 소리야?,놀람
무슨 약 먹어?,놀람
뭐?,놀람
어떻게 알죠?,놀람
정말 모르는 게 없네요.,놀람
재밌네요. 또 뭘 알고 있죠?,놀람
그걸 어떻게 알죠? ,놀람
"어, 깨셨네요. ",놀람
근데 제가 왜 쓰러진 거죠?,놀람
과로요...?,놀람
격렬한 체력소모요..? ,놀람
대표님이 오신다구요..?,놀람
혼자 있다고?,놀람
깨면 절대 혼자두지 말라고 했지! ,분노
그렇다고 화장실까지 쫓아갈 순 없잖아?,놀람
왜요? 뭐하는데?,놀람
욕실에서? ,놀람
"오지마요, 쏠 거니까.",공포
하 참 맥락이라곤 없는 여자네.,놀람
움직이지 마요! 쏜다니까! 나 지금 장난 아니에요! ,공포
"어 어 오지 말라니까, 위험하다고요! 진짜라구!",공포
진짜 쏜다니까!,분노
얼마나 중요한 비밀이기에 총구 앞에서도 말을 안 하죠..?,놀람
쏠 리가.. 없잖아요. ,공포
그럴 리가 없어요.,놀람
"내가 경찰에 진작 넘기자고 했지, 이렇게 깡패 짓이나 하려고 빼돌렸니? 너 조폭이야? 권총으로 여자 협박이나 하고! 왜 이래 진짜?",분노
경찰에 지금 넘겨.,분노
더 이상은 나도 두고 못 봐. 경찰에 넘기고 경찰이 정 못 풀면 다시 우리 팀이조사하고. 답답해도 그게 절차야. 왜 자꾸 일을 꼬이게 만들어?,분노
나보고 여기서... 살라구요..?,놀람
저 여자가 미인이면 개나 소나 미인이라면서 지금 할 거 다 하고 있거든? 거기다 같이 지낸다고? 그거 동거잖아? 완전 애인 사이 아냐?,놀람
아니 뭐 남 얘기하듯 해?,놀람
대답은 하나도 안 하면서 왜 내가 죽을까봐 그건 걱정해요?,놀람
그건.. 대답을 들으면 내가 불행해진다는 뜻인가요?,놀람
그래요? 영광이네요.,놀람
"동갑이었네요 우리. 결혼은, 했어요?",놀람
뭘 여기까지 와? 너 보는 거 다들 싫어하는데.,놀람
왜요?,놀람
뭐예요?,놀람
이게 다 제 꺼라고요? 이걸 다 언제 입으라고요?,놀람
뭐예요?,놀람
시중이요? 저를 시중든다고요?,놀람
"괜찮아요, 진짜 됐어요.",놀람
그게 무슨 뜻이에요? 제가 왜 대표님 취향에 맞춰 머리 세팅을 해야 하는데요? ,놀람
네..? 약혼녀분 아니세요..?,놀람
네..? ,놀람
제가요? ,놀람
남자친구 없는데요.,분노
남자친구도 없어요? 어쩌다가?,놀람
웃지 마세요. 사람 감금시켜놓고 너무 유쾌한 거 아녜요?,분노
네...?,놀람
어디 가십니까?,놀람
이틀이나 지났는데요?,놀람
"아니... 네, 좀 어이없어서요, 아 진짜, 적응이 안 되네요, 이건 좀 너무... 상상도 못했어요, 내가 이런데 올 줄, 난 그냥 평범한 소시민인데 ",슬픔
평범한 소시민들이 여기에 옵니다. 여기에 올 줄 알고 오는 사람은 별로 없죠.,슬픔
사격 안 해?,놀람
야. 니가 뭐든 하면 다 되는 천잰 줄 알아?,분노
어우 재수 없어.,분노
왜 저한테 배우려고 하시죠?,놀람
근데 왜요? 돈 많으신 분이 경호원들 잔뜩 두면 될 걸.,놀람
뭔 소리야 뜬금없이?,놀람
아니 누가 니 약혼자라고 찾아왔는데?,놀람
약혼자? 누가...?,놀람
아는 사이 맞아요?,놀람
"잠깐, 그럼 그쪽이 진짜로 이 녀석 약혼자라고요?? ",놀람
선생님은 벌써 퇴원을 하셨다고.,놀람
"아 그러세요? 어유, 너무 고생하시네요.",놀람
누나..!,놀람
뭐?,놀람
정말이야…?,놀람
벌써 장거리 여행을 하신다고? 안 좋은데 ,놀람
왜 이러세요?,놀람
교수님 이건 좀 그런데요 예고도 없이 갑자기 소개팅을 하라고,분노
미남이요?,놀람
야 씨 뭐 맡겨놨냐? 한 달에 네 명을 어떻게 대냐? 요즘에..,놀람
정말 선생님이 아니라구요?,놀람
어떻게 된 거야..?,놀람
내가 지금 묻고 있잖아 어떻게 된 거냐고.,분노
"왜 이래? 기억도 안 나? 갑자기 없어졌잖아. 그러다 경찰이 연락이 왔어, 니가 한강에서 떨어졌다고.",분노
메시지요..?,놀람
뭐예요 이게..?,놀람
"아니.. 그건 말이 그런 거죠.. 그렇다고 뭐 이렇게 업무 처리하듯이, 누가 로맨스로 사업계획서 쓰라고 했나요? ",놀람
"정체도 모르는 여자를, 나중에 재산 문제는 어떻게 하려고",놀람
뭐?,놀람
무슨 소리야 대체..?,놀람
왜...?,놀람
여기서 지내라고요..?,놀람
언제 왔어요?,놀람
공부요..?,놀람
뭐에요? 왜 이래요?,놀람
네?,놀람
진짜로 이걸 보고 공부 했어요..?,놀람
그래요? 다행이네. 근데 신기하네. 이게 왜 달달해..?,놀람
왜요? 어머 왜 이래요?,놀람
페이지를 외웠어요?,놀람
달달하죠..,행복
"아, 좋다.",행복
완전 좋아요,행복
내 꿈이었어요.,행복
...빚 갚느라 숙제하는 거 맞아요..?,놀람
노크 할 줄 몰라? ,분노
"싫어, 못하겠어. 얼굴 보고 싶지 않아. 그냥 오빠가 전해줘.",슬픔
위장 결혼이잖아. 너도 알면서 왜 그래?,놀람
위장 결혼처럼 보여? 난 그렇게 안 보이는데? ,슬픔
"난 프로는 못 되나봐. 계속 옆에서 비서 노릇하면서 그 여자 얼굴, 못 보겠어.. ",슬픔
자요?,놀람
이게 뭐예요?,놀람
네?,놀람
국빈 만찬이요?,놀람
청와대요? 내가 청와대에 간다구요?,놀람
.... 녹음할 수가 없었어.,분노
왜?,놀람
잘 모르겠어요. 전 다 예쁜데요 어떡해요.,행복
아니 뭐.. 센스는 없는데 노력은 좀 하는 편인 거 같아요. ,행복
그래요? 난 좀 어색한데.,놀람
저... 진짜 어울려요?,놀람
저런 프로그램 말을 믿어요? ,놀람
"아, 내가 밑진 거 아냐? 나 여기서 완전 통하는 미모인데 너무 안 재보고 결혼했나봐.",행복
맞아요.. 완전 한 맺혔어요. ,분노
같은 말이라도 예뻐서 매력있다고 하면 듣기 좋죠. ,분노
왜 자다가 떨어져요? ,놀람
근데 안자요..? 새벽 세시예요.,놀람
라면이 요리에요?,놀람
그건 식기세척기에요. 왜 거길 열어봐요?,놀람
이 시간에 전화 좀 하면 안 돼..? 왜..? 옆에 와이프가 있어서..?,슬픔
너.. 취했어?,놀람
그 여자가 니 옆에서 자고 있어..? 아.. 나 상상이 안 된다.. 너 진짜 결혼한 거야..?,슬픔
계속 이렇게 가요? 어디로 가라구?,놀람
아니 진짜 환장하겠네~ 뭐예요 또? 나 이제 지긋지긋하다구요 또 뭔 일 생기는 거~,분노
아니 누가 나한테 전화를 하는데요?,놀람
괜찮아요?,놀람
나 지금 죽을 뻔 했어요. 진범이 나한테 총을 쐈어요.,공포
취해서 그런 거라고..?,슬픔
그거.. 결혼반지야..?,슬픔
결혼반지네..? 진짜 꼈네.. 너 진짜 결혼했구나..,슬픔
오해야! 위장 결혼이야 너도 알잖아?! 다 가짜라고! 우리 아무 사이도 아냐!,놀람
뭐해요..?,놀람
지금이 숙제 할 때예요..?,놀람
국장님네 출판사는 이렇게 멀쩡한데 말이예요.,놀람
기다릴래...?,놀람
어머. 아빠가 전화했구나. 저엉말 오랜만이다 그치.,분노
...법인 해산? 학교가 없어질 수도 있다?,놀람
그래도 너 밖에 없구나. ,슬픔
필기도 잘 했네? 5단원 하고 있었어? 지금 4단원 하는데?,놀람
만일 법인해산이 되면... 진짜로 학교 문을 닫는 건가요?,슬픔
그럼... 우리 애들은요?,슬픔
최악의 경우엔... 다른 학교로 흩어질 수도 있겠네요?,슬픔
"그렇게 되는 동안, 학교를 떠나는 선생님들도 계시고, 학교 분위기는 엉망이 될 거구요?",슬픔
참 쉽게 말씀하시네요?,분노
"아빠 생각하면... 쯧, 쫌 그렇긴 해요. ",슬픔
할머니!,놀람
난 그런 줄도 몰랐잖아. 쫌 싸더라도 안전한 집으로 세를 들지 왜.,슬픔
할머니!,슬픔
"에이그, 우리 손주 자상하기도 하지. 착한 건 즈이 에미에비를 쏙 뺐어 그냥. ",행복
아퍼 할머니. 드셔. 식었다.,행복
우리 손주.,행복
으응? 너 요만할 때 공부를 얼마나 잘 했는데. 동네에서 그냥 신동 났다구들…,행복
그래. 아우~ 꿀맛이네 그냥. 꿀맛이여!,행복
"뭐 하냐? 오~~ 짜식, 공부해?",놀람
말도 안 돼!,놀람
"나더러, 이 골치 덩어리 학교를 1년이나 더 끼고 있으란 거예요? 싫어요! 절대 못 해요!",분노
"글쎄 싫다구요! 이사장이라고 여기저기 오란 데도 많고, 물어보는 것도 많고, 툭하면 조사 들어오고 아아 싫어싫어!!",분노
그럼 어떡하라구요!!!,분노
무엇보다... 병상에 계신 아버님을 생각하십시오.,슬픔
네?,놀람
왜요?,놀람
수업 중에 지금 뭐 하시는 거예요?,분노
난... 공부도 못 하고... 암튼 말이 안 되니까요...,슬픔
말씀 너무 막 하시는 거 아니예요? 자라나는 새싹한테 별 볼일 없는 인생이 뭐예요? ,분노
아저씨!,분노
어떻게 된 거야? 너 진짜 가?,놀람
네?,놀람
뭐요?,놀람
뭐? 씨... ,분노
씨..,분노
에이 진짜... 이 봐!,분노
히익!,놀람
이런 데가 있었네?,놀람
치우자구요?,놀람
"또 시작이야! 백 명, 이백 명, 이런 숫자가 어떻게 매력이 될 수 있어요!",분노
"난 스포츠 보느라고 밤 안 새거든요? 그리고요, 그런 경쟁원리를 신성한 교육에 함부로 갖다 붙이지 마세요.",분노
있잖아요 변호사님. 변호사님 말씀하실 때요...여기 침 튀는 거 아세요?!!,분노
아!,놀람
어…,놀람
네?,놀람
싸우는 거 싫으니까요. ,슬픔
그럼요…,슬픔
어?,놀람
"요즘에 그렇게 공부를 열심히 한다며. 아이구, 이쁜 내 새끼. ",행복
무슨 말이야 할머니? 누가 그래?,놀람
어?,놀람
뭐?,놀람
"너, 특별반에도 뽑혔다면서? 허이구 기특한 놈.",행복
그 사람이 그래? 할머니 지금 학교 와 있어?,놀람
거기서 뭐 하는 거야? 할머닌 왜 찾아갔어?,분노
할머니한테 허튼 소리만 해? 가만 안 둬!,분노
저기...,슬픔
아래층에 얼씬 말라구?,슬픔
으응..,슬픔
누가 그런 거 걱정해 달래? 왜 자꾸 쫓아다니면서 승질을 긁어!,분노
이 아저씨 진짜 싸이코네? 아저씨두 대학 못 나왔다며 왜 자꾸 대학대학 그러는데? 대학 못 가 한 맺혔어?,분노
똥 밟는 소리 그만 해요. 예?,분노
아 진짜 물귀신이네. 아저씨. 나 인제 학교 그만 둘 거거든요? 대학반이고 뭐고 딴 데 가서 알아봐요 에?,분노
네?,놀람
"... 달동네 싹 다 밀어버리고 고급 아파트 세우면, 달동네 살던 사람들이 거기 들어가 사냐.",슬픔
에?,놀람
네에? 싫어요.,놀람
그게... 정말이예요?,놀람
"그럼, 저 변호사를 끼지 않고도 깔끔하게 손 털 수 있다는 거네요?",행복
공부를 다 열심히 하는 건 아니잖아...,슬픔
너도 열심히 하잖아. 근데 왜 그 모양... 크흠.,슬픔
후우..,슬픔
어떻게 된 거야.,분노
그런 말... 없었는데?,슬픔
어...,슬픔
할머니…,슬픔
그럼 어떡하라구! 나더러 어떡하라구!!!,분노
에에이이이.  안 한 다면 안 하는 줄 알지! 웬 말이 그렇게 많아 정신 사납게!,분노
흥. 이 따위 고물 책 간직하고 있었다고 내가 감동할 줄 알아?,행복
... 죽도록 가르쳐서 명문대라는 데 보내 놓으면 뭐 해. 한 자리씩 차지하고 앉으면 죄다들 여기가 이상해져 버리는 걸. 헛짓이야. 그런 망종들 대학에 하나라도 덜 보내는 게 세상 돕는 길이야.,분노
그거하곤 다르죠.,분노
교사란 신성한 직업이에요. 시험이라는 물리적인 가치로 평가될 수 있는 게 ,분노
아!...,놀람
"그러면서, 어떻게 합숙을 독단적으로 결정할 수가 있어요? 부담임인 저한테 사전 상의라도 했어야 하는 거 아니예요?",분노
이럴 줄 알았어.,분노
뭐예요 이게!,분노
어?,놀람
"그 변호사 양반, 어뜩케나 자상하게 설명을 해 주는지... 다 느이 선생님 덕분이지 뭐냐. 그게 또 잘 난 우리 손주 덕이구. ",행복
무슨 내 덕.,행복
에이구 이쁜 눔...,행복
오디션 얼마 안 남았는데 빠지면 어떡해.,슬픔
미안해. 밤늦게라도 올 수 있음 올게.,슬픔
"그래두, 부자 친구 둬서 이런 데 공짜로 쓸 수 있어서 좋다 응?",행복
어... 걱정했나보네... ,행복
에잉. 도대체 왜 100점을 못 맞는 거냐!,분노
이거 갖곤 안 돼! 100점! 만점이 아니면 소용없어! 왜 자꾸 실수를 반복하냐 말이다! 왜!,분노
더 이상 어떡하라구요! 아침부터 지금까지 계속 계산 계산! 우리가 계산기예요?,분노
그거다! 계산 머신! 너희는 계산하는 기계가 돼야 한다! 말했잖냐! 순간적! 자동적! 기계적으로 계산해야 한다고!,분노
고만해요 좀! 돌 거 같애!,분노
아시잖아요. 제가 어떻게 열흘 만에 80점을 넘어요...,슬픔
왜는요. ... 돌머리니까...,슬픔
아…,슬픔
그게 아니구요 ... 어차피 안 될 거 헛수고하느니...,슬픔
애들도 나때문에 괜히... 고생할 거구요.,슬픔
네?,놀람
하! 또 내 잘못이네. 참 잘도 갖다 붙이세요?,분노
어! 어떡하지? 구린 거 싸가지고 왔는데?,놀람
"걔고, 애들이고 상태가 어지간해야 말이지!",분노
니가 지금 쉬는 시간 챙겨가며 공부할 때냐! 비상사탠 거 모르냐 이놈아!,분노
"부탁인데요, 앞으론 멋대로 내기 걸지 마요. 우리, 변호사님 내기도박판에서 널이나 뛰는 화투 패 아니거든요.",분노
하긴. 이제 내기할 기회도 없겠네. 열흘 있음 특별반도 깨질 테니까. ,분노
"니 친구가 정말, 쫓겨 가길 원하니. 그래서 말한 거다. 아닌 척 폼 재지 말라고. ",슬픔
"변호사님 속으론 혹시, 열흘 후엔 우리 반 끝장날 거라고 생각하는 거예요? 지금  뭔 헛짓을 하고 있냐, 그렇게 보시는 거예요?",분노
에?,놀람
내가?,놀람
헤헤헤. 쫌 있음 가잖아~,행복
가긴 어딜! 큼! 그런 부정적인 마음가짐으로 뭐가 되겠나!,행복
앗! 시정하겠습니다! ,행복
너무하시는 거 아니예요?,분노
"그럼 선생님들한테 앞으로 계획에 대해서도 말씀해 주셔야죠. 이러고 그냥 나오면, 선생님들이 얼마나 혼란스러우시겠어요!",분노
정말 감사하네요. 안 잘라 주셔서.,분노
안 된다고 했지!,분노
"글쎄 안 돼, 그 인간은! ... 데려오기만 해. 다시는 나 못 볼 줄 알아!!",분노
에?,놀람
"할머니, 오늘 무슨 날이야?",놀람
"그러엄. 인제 특별반인데. 좀 있음 명문대생 될 거구. 아휴 그냥, 그 생각만 하믄, 힘이 울끈불끈이여. ",행복
기대할 거여. 기대합니다~ 일등 대학생~ ,행복
기획사 분이시라구요… 또 당신입니까.,분노
"지난번에 분명히 말 한 걸로 아는 데요. 나, 아무데나 강의 나가는 사람 아니예요. 여기 왜 아무나 들여보내고 그래!",분노
어머! 넌다는 걸...,놀람
엄마 증말 왜 그래? 딸한테 창피하지도 않어?,분노
문제 해답 동시 프린트?!!,놀람
내가 왜 기분이 상했을 거라고 생각해요?,분노
"하... 제가요... 지금까지 웬만하면 변호사님한테 협조하려고. 했어요. 그건 강변호사님 생각에 동의해서라기 보다요! ... 한 배를 탔으니까. 뭣보다, 우리 애들, 열심히 하는 모습이 예뻤으니까.",슬픔
"근데요, 이건 도저히 용납이 안 되네요. 제가 영어 교사인 걸 알면서 어떻게 버젓이 다른 샘을 부를 수가 있죠?",슬픔
"그럼, 영어 가르치던 사람이, 계속 영어를 가르치나 보다~ 하지, 뭘 생각해요? 그리고요, 변호사님 저한테 영어 가르치지 말란 말 안 했어요.",분노
한 마디로 나를 속인 거네요?,슬픔
나 무안 줘서 찍소리 못하게 만들려구요? 변호사님 정말 무서운 분이네요. 기가 막혀서 정말... 말이 안 나오네.,슬픔
됐거든요? 그냥 실력 없어서 잘랐다고 하세요. 구구절절 핑계대지 말구요!,슬픔
당장 못 치워! 돈이나 밝히는 속물!,분노
못 참아 못 참아! 그 속물과 한 공간 안에 있다는 자체도 역겨워!,분노
"사흘 후에도 안 보내면, 그 땐 내가 떠날 줄 알아! 끙...",분노
으... 이쁘다.,행복
맘에 들어?,행복
나 주는 거야?,행복
고맙다구. 나 미국 안 가게 도와줘서.,행복
내가 뭘. ,행복
내 자존심이 달린 문제니까요.,분노
글쎄요. 두고 봐야겠죠. ,분노
그래요?!!,행복
"오오오, 변호사 뭐예요? 그룹이 우리 학교 인수할려고 은밀히 조사하고 있단 걸 어떻게 알았죠?",놀람
아... 이사장님이 결혼상대로 애타게 찾으시는... 그... 2세?,놀람
변호사님이 얼마나 위험한 사람인지도 새삼 알았구요.,분노
"제가 이기길 바라는 것도 아니면서, 생각해주는 척 말씀하지 마세요. ",분노
안 한 게 아니라 못 한 거거든요? 바빠서. ,놀람
아직도 얼쩡거리고 있는 게야!,분노
뭐야?!! 이놈의 자식. 이놈의 자식.,분노
사흘 후에도 이 인간 보였다간 알지! ,분노
어... ,놀람
여기... 변호사 사무실이었는데?,놀람
"난, 엄마랑 살면서 행복했던 적이 없었던 거 같아.",슬픔
니가... 기억 못하는 건 아니고?,슬픔
너 쫌 비꼬는 거 같다?,분노
"열심히 공부해 보겠다는데, 뭐가 이용당하는 거야?",분노
하... 그렇게 비아냥대면 좋아? 진심도 아니면서?,분노
넌 있지... 관두자. 오토바이 태워줘서 고마워.,분노
그래두~ 아~ 해 봐. 아~.,행복
뭘요. 이기지도 않았는데. 근데 좀 불쾌하네요.,분노
뭐?,놀람
애들이 정말 그런 부탁을 했어요?,놀람
그러니까... 제가 이 학교에 없어야... 애들이 마음 무겁지 않게 공부할 수 있겠네요?,슬픔
네? 무슨...,놀람
못 봤는데..으잉? 에이이잉. 기어이. 기어이 일을 저질렀어!,분노
아니 저... 선생님?  선생님!,놀람
에에? 못해요 저!,놀람
어머머!,놀람
"나 도와준 거, 사무실 뺀 돈이었어? 그렇게까지 해서 내 존심에 똥칠하고 싶었어? 니가 잘난 척 해봤자 내 인질이다?",분노
뭐?!!,분노
쥐뿔도 없는 주제에! 공부도 못 하는 주제에! 곧 죽어도 큰소리는 치고 싶어서 꽥꽥대는 거냐 이 못난 놈아! 가라. 열심히 하려는 애들 틈에서 분위기 흐릴 려거든 당장 나가! ,분노
선생님...,슬픔
"옛날 얘기 알지? 제자가 잘못하니까 스승이 자기 종아리 치는 스토리. 난 그건 못 하겠구, 이걸루 때울란다. 미안해. 그렇게 도망가는 거 아니었는데. 한번 기가 팍 죽으니까, 못 버티겠더라.",슬픔
아니에요!,슬픔
선생님 생각이 짧았어. 참을성도 없었구…. 바보였어.,슬픔
일어나세요!,슬픔
"너 교실로 안 돌아가면, 나 이 학교 뜬다. 선생 때려 칠 거야. ",슬픔
"어디 나를 거기다... 쯧.... 실력도 없고, 애들 다룰 줄도 모르는 게 선생은 해서 뭐 하냐. 누굴 가르쳐.",슬픔
선생님...,슬픔
잔주름. 하룻밤 새 0.5미리 늘어났어. 선생님 때문에. 이렇게 내 속을 썩일 수가 있는 거예요?,분노
이사장님이 그런 말씀 하실 입장 아니지 않나요?,분노
뭐예요?,놀람
이사장님 학교 운영하기 싫으셔서 강변호사 불러들인 거잖아요. 이사장님이 애초에 책임감이 있었으면요 오늘날 사태가 이렇게까지…,분노
누가 누구한테 훈계예요 지금?,분노
킥킥.,행복
헤헤. 전 그냥 부담임만 하려구요. 한 겹 접으니까 나름 적응 되네요.,슬픔
쩝. 그니까 선생님두 괜히 역정 내고 그러지 마세요 네? 애들 영어에 흥미 붙이기 시작했거든요. ,슬픔
내가 괜히 그러나? 자꾸 허튼 짓을 하는 걸!,분노
알아 뭐 하게! 에잉. 이렇게 가는 게 아닌데.,분노
애들한테 어떻게 이런 걸 읽힐 수가 있어요?,분노
예?!!,놀람
엄마 도대체 무슨 생각으로 저 아저씨랑 온 거야?,놀람
왔습니다~,행복
네?,놀람
재단 인수 심사팀이 왔습니다~~ 하하하.,행복
그래요?!! ,행복
에?,놀람
할머니!,놀람
가신 줄 알았는데. 왜 청소를 하고 계세요.,놀람
아까 보니까 고기니 학용품이니 다들 한 보따리씩 갖고 왔던데... 저는 암 것도 못 가져와서요. 배운 게 청소뿐이라... 흐흐...,슬픔
할머니...,슬픔
"이러니까! ... 사사건건, 나한테 알량한 자선 베푼 거 빌미로, 찍어누르려고 하니까 묻는 거잖아! 치사해서! 다 돌려주려고!!",분노
... 뭐?,놀람
뭐?!!,분노
뭐? 나한테 무릎 꿇을 각오나 해.,분노
내가 잠깐... 맛이 갔었나봐.,슬픔
응?,놀람
열심히 하는 애한테... 그렇게 말하는 거... 아니었는데. ... 미안.,슬픔
어어?,놀람
"니가, 변호사 말 잘 듣는 거 같아서... 짜증 났어. ... 다른 애도 아니구.. 니가.",슬픔
변호사를... 왜 그렇게 싫어해?,슬픔
"싫어 그냥. 내가 뭐... 쥐뿔 잘난 거 없지만... 그런 자식 말 고분고분 듣는 거... 왠지 굴복하는 거 같애, 이 세상에. ... 훗. 명문대를 가야 사람 구실을 해? 웃기지 말라 그래.",분노
정말?,놀람
치사해서. 기억해 놔라. 나중에 내가 딴 소리 안 하게.,행복
좋아. 중간고사 공부 열심히 할 것임. 저장. ,행복
뭐어?,놀람
이렇게 먼 데서 다녔어?,놀람
아무도 없어. ,슬픔
니가 첨이다? ... 우리 집 온 사람. 나 여기 사는지 아무도 몰라.,슬픔
정말이야. 나 친구 없었어. ... 진짜 친구. 나 위해서... 이렇게 다친 친구.,슬픔
그럼 지금까진... 우리 친구 아니었어?,슬픔
누워누워 30분만 자자. 아... 누가 집에 오니까... 좋다.,행복
무단이탈은 연대책임이다.,분노
에에?!!!,놀람
...어? 서방 니가 좋아하잖아. 껌딱지 커플이면서.,놀람
나랑은... 싸우지도 않는데 뭐. 관심이 있으니까... 싸우는 거지.,슬픔
피곤해도 좋아. 합숙 넘 재밌어. 아... 영원히 고3이면 좋겠다.,행복
피. 좋은데 어떡해? 서방두 있구. 너두 있구. 집에 안 가도 되고.,행복
알았어~.,행복
아아악!!! 이게 뭐예요! 뭐예요! ,분노
그럼 뭐하냐구요! 벌써 이렇게 다 퍼져 나갔는데! 아우 창피해! 아우우 창피해!,분노
네?,놀람
변호사를 쫓아내는 일이라면 기꺼이 동참하시겠다구요. 하하. ,행복
선생이 우리를 아주 제대로 도와주네요.,행복
흐흐. 예.,슬픔
쯧쯧. 기러기아빠 생활 힘듭니다. 제가 해 봐서 압니다.,슬픔
흐흐.,슬픔
"뭡니까. 전화도 안 받고, 사무실에도 없고, 어디서 뭐하다 이제야 나타납니까.",분노
아... 제주도에 국제 에어로빅 세미나가 있어서..,놀람
이게 뭡니까. 내 허락도 없이 누가 이런 짓 하라고 했습니까! ,분노
아…그게…,놀람
내가 언제부터 선생과 동업자였습니까! 예?!!,분노
